Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2019/10/23,21-257,WAS,@,DAL,L (-8),1,24:51:00,7,15,0.467,0,3,0,0,0,,4,6,10,0,0,0,0,2,14,10.1,2,0.467,0.467,14.9,28.3,20.8,0,0,0,0,24.6,102,107,10.1,-0.6
2,2,2019/10/25,21-259,WAS,@,OKC,W (+12),1,34:39:00,8,20,0.4,0,4,0,3,3,1,1,4,5,2,1,0,1,1,19,11.1,10,0.446,0.4,2.8,12,7.2,9.9,1.3,0,4.5,26.6,92,86,11.1,0.5
3,3,2019/10/26,21-260,WAS,@,SAS,L (-2),1,37:59:00,8,14,0.571,0,1,0,0,0,,3,5,8,3,1,1,2,0,16,14.8,-5,0.571,0.571,9.5,11.7,10.8,10.3,1.2,1.6,12.5,17.7,113,122,14.8,-1.9
4,4,2019/10/30,21-264,WAS,,HOU,L (-1),1,35:31:00,9,15,0.6,3,3,1,2,2,1,2,3,5,0,0,0,1,2,23,16.6,-12,0.724,0.7,7.5,8.4,8,0,0,0,5.9,18.6,145,150,16.6,-4
 6,6,2019/11/4,21-269,WAS,,DET,W (+16),1,16:18,5,7,0.714,1,2,0.5,1,1,1,2,2,4,3,1,0,1,4,12,11.6,-2,0.806,0.786,14,14.4,14.2,31.2,3.1,0,11.8,21.6,152,103,11.6,13.6
7,7,2019/11/6,21-271,WAS,@,IND,L (-15),1,20:50,0,5,0,0,1,0,0,0,,1,7,8,1,0,0,1,0,0,-1,-19,0,0,4.5,35.8,19.2,6.2,0,0,16.7,11.6,22,116,-1,-13
8,8,2019/11/8,21-273,WAS,,CLE,L (-13),1,35:18:00,10,13,0.769,0,0,,1,2,0.5,4,3,7,3,2,0,2,3,21,20.1,-15,0.756,0.769,11.3,8.7,10,13,2.8,0,12.6,18.5,139,117,20.1,8
9,9,2019/11/13,21-278,WAS,@,BOS,L (-7),1,24:15:00,9,12,0.75,0,1,0,3,4,0.75,3,1,4,2,1,0,0,5,21,18.6,-5,0.763,0.75,13.8,5.3,9.9,12.3,1.9,0,0,23.5,163,135,18.6,6.3
10,10,2019/11/15,21-280,WAS,@,MIN,W (+21),1,25:11:00,4,10,0.4,0,2,0,0,0,,1,3,4,3,2,0,2,1,8,5.9,10,0.4,0.4,4.1,12.2,8.1,12.3,3.5,0,16.7,18.4,85,104,5.9,-6.4
11,11,2019/11/17,21-282,WAS,@,ORL,L (-4),1,27:55:00,3,7,0.429,0,0,,0,0,,1,3,4,2,0,0,0,2,6,4.5,-3,0.429,0.429,3.4,12.9,7.6,8.4,0,0,0,10.8,107,130,4.5,-8.7
12,12,2019/11/20,21-285,WAS,,SAS,W (+6),1,25:27:00,5,10,0.5,0,1,0,5,6,0.833,2,5,7,2,0,0,1,4,15,11.3,13,0.593,0.5,10.8,21.4,16.7,8.5,0,0,7.3,22.3,126,126,11.3,-6.9
